Number_ID,Breed,Owner,AGE,SEX,kg,BCS,AIRg,DI,SI,EMS,Sg,TBFM ,%BF,Leptin,Adiponectin,NEFA,TG,Fat area,MATSUDA,SIisOGTT,AVIGNON,O_AUCg,O_AUCi,O_peak insulin,O_time peak i,O_peak glucose,O_time peak glu,O_overall mean insulin,O_overall mean glucose,time,time2,insulin,glucose,F_0g,F_0i,Tmin,Gb,Gmin,Ge,dGb,HAUC,Ttmax,Max F insulin,Baseline F insulin,Baseline F glu,Max F glu
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,0,0,2.5,79.2,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,0.25,0.0625,3.1,85.4,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,0.5,0.25,4.1,89.4,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,1,1,7.8,108,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,1.25,1.5635,8.3,106.5,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,1.5,2.25,6.7,108.5,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,2,4,7,94.55,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,2.5,6.25,6.1,95.9,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
1,QH,KS,2,g,453.4,5,140.2,453.4,3.234,no,1.209,10.7,2.447490162,0.5,19.552,0.245,4.872881,0.003618649,35.58,0.33,1.82,17260,1023,8.28,75,108.5,90,5.08,94.09,3,9,2.7,79.4,80.35,5.1,240,80.35,67.3,67.3,16.24144368,8.45,n,128.8235,5.1,80.35,240
2,QH,KS,2,m,369.1,4.5,85.05,728.7,8.568,no,1.407,6.6,1.781054643,2.396,12.349,0.16,15.04237,6.61E-04,104.22,0.47,5.77,15156,52.5,2,120,99.05,150,0.29,81.38,0,0,0.5,76.7,82.45,1.1,180,82.45,69.95,76.2,15.16070346,29.15,n,100.0594,1.1,82.45,325
